NAME,STATE,NUM_2013,PERC_2013,NUM_2016,PERC_2016,DIFF,PERC_CHANGE
Alabama,AL,645000.00,0.14,435000.00,0.09,-210000.00,-0.33
Alaska,AK,132000.00,0.19,101000.00,0.14,-31000.00,-0.24
Arizona,AZ,1118000.00,0.17,681000.00,0.10,-437000.00,-0.39
Arkansas,AR,465000.00,0.16,232000.00,0.08,-233000.00,-0.50
California,CA,6500000.00,0.17,2844000.00,0.07,-3656000.00,-0.56
Colorado,CO,729000.00,0.14,410000.00,0.08,-319000.00,-0.44
Connecticut,CT,333000.00,0.09,172000.00,0.05,-160000.00,-0.48
Delaware,DE,83000.00,0.09,53000.00,0.06,-30000.00,-0.36
Florida,FL,3853000.00,0.20,2544000.00,0.13,-1309000.00,-0.34
Georgia,GA,1846000.00,0.19,1310000.00,0.13,-537000.00,-0.29
Hawaii,HI,91000.00,0.07,49000.00,0.04,-42000.00,-0.46
Idaho,ID,257000.00,0.16,168000.00,0.10,-89000.00,-0.35
Illinois,IL,1618000.00,0.13,817000.00,0.07,-802000.00,-0.50
Indiana,IN,903000.00,0.14,530000.00,0.08,-373000.00,-0.41
Iowa,IA,248000.00,0.08,132000.00,0.04,-116000.00,-0.47
Kansas,KS,348000.00,0.12,249000.00,0.09,-99000.00,-0.28
Kentucky,KY,616000.00,0.14,223000.00,0.05,-393000.00,-0.64
Louisiana,LA,751000.00,0.17,470000.00,0.10,-281000.00,-0.37
Maine,ME,147000.00,0.11,106000.00,0.08,-41000.00,-0.28
Maryland,MD,593000.00,0.10,363000.00,0.06,-230000.00,-0.39
Massachusetts,MA,247000.00,0.04,171000.00,0.03,-76000.00,-0.31
Michigan,MI,1072000.00,0.11,527000.00,0.05,-545000.00,-0.51
Minnesota,MN,440000.00,0.08,225000.00,0.04,-215000.00,-0.49
Mississippi,MS,500000.00,0.17,346000.00,0.12,-154000.00,-0.31
Missouri,MO,773000.00,0.13,532000.00,0.09,-241000.00,-0.31
Montana,MT,165000.00,0.17,83000.00,0.08,-81000.00,-0.50
Nebraska,NE,209000.00,0.11,161000.00,0.09,-48000.00,-0.23
Nevada,NV,570000.00,0.21,330000.00,0.11,-240000.00,-0.42
New Hampshire,NH,140000.00,0.11,78000.00,0.06,-63000.00,-0.44
New Jersey,NJ,1160000.00,0.13,705000.00,0.08,-455000.00,-0.39
New Mexico,NM,382000.00,0.19,188000.00,0.09,-195000.00,-0.51
New York,NY,2070000.00,0.11,1183000.00,0.06,-887000.00,-0.43
North Carolina,NC,1509000.00,0.16,1038000.00,0.10,-471000.00,-0.31
North Dakota,ND,73000.00,0.10,52000.00,0.07,-21000.00,-0.29
Ohio,OH,1258000.00,0.11,644000.00,0.06,-614000.00,-0.49
Oklahoma,OK,666000.00,0.18,530000.00,0.14,-136000.00,-0.20
Oregon,OR,571000.00,0.15,253000.00,0.06,-318000.00,-0.56
Pennsylvania,PA,1222000.00,0.10,708000.00,0.06,-514000.00,-0.42
Rhode Island,RI,120000.00,0.12,45000.00,0.04,-75000.00,-0.63
South Carolina,SC,739000.00,0.16,486000.00,0.10,-253000.00,-0.34
South Dakota,SD,93000.00,0.11,74000.00,0.09,-19000.00,-0.20
Tennessee,TN,887000.00,0.14,592000.00,0.09,-294000.00,-0.33
Texas,TX,5748000.00,0.22,4545000.00,0.17,-1203000.00,-0.21
Utah,UT,402000.00,0.14,265000.00,0.09,-137000.00,-0.34
Vermont,VT,45000.00,0.07,23000.00,0.04,-22000.00,-0.49
Virginia,VA,991000.00,0.12,715000.00,0.09,-276000.00,-0.28
Washington,WA,960000.00,0.14,428000.00,0.06,-532000.00,-0.55
West Virginia,WV,255000.00,0.14,96000.00,0.05,-159000.00,-0.62
Wisconsin,WI,518000.00,0.09,300000.00,0.05,-218000.00,-0.42
Wyoming,WY,77000.00,0.13,67000.00,0.12,-11000.00,-0.13
